;Исполнитель;Группа тем;Текст инцидента;Тема;lemm
10;Министерство здравоохранения;Здравоохранение/Медицина;"'Добрый день, прошу разъяснить ситуацию: предварительно поставлен диагноз ""сердечная недостаточность"", ( обследования, анализы, суточный мониторинг сердца на руках) необходим срочный приём терапевта для дальнейшего перенаправления к кардиологу, для назначения необходимого лечения, имею ли право на приём без предварительной записи( есть симптомы, которые требуют скорейшего лечения, запись к терапевту, соответственно, на ближайшее время отсутствует)";★ Просьбы о лечении;"'добрый день, просить разъяснить ситуацию: предварительно поставить диагноз ""сердечный недостаточность"", ( обследования, анализы, суточный мониторинг сердце на руках) необходимый срочный приём терапевт для дальнейший перенаправление к кардиологу, для назначение необходимый лечения, иметь ли право на приём без предварительный записи( есть симптомы, который требовать скорый лечения, запись к терапевту, соответственно, на ближний время отсутствует)"
11;Министерство социального развития ПК;Социальное обслуживание и защита;'Здравствуйте скажите пожалуйста когда будут выплачивать пособие до 1.6 лет за прошлые месяцы до сентябрь октябрь ноябрь и декабрь. Пенсионый фонд ни чего сказать не может.;Оказание гос. соц. помощи;'здравствовать сказать пожалуйста когда быть выплачивать пособие до 1.6 год за прошлое месяц до сентябрь октябрь ноябрь и декабрь. пенсионный фонд ни что сказать не может.
12;Министерство социального развития ПК;Социальное обслуживание и защита;'Добрый день, подали документы на ежемесячную выплату в связи с рождением (усыновлением)первого ребенка 9 марта 2021<br>Со мной связывались 30.03 и сказали позвонить 11.04 тк это срок исполнения, к сожалению по номеру +73422150562 не отвечают<br>Могу ли я получить результат? Отказано в выплатах или одобрено<br>Ярина Мария Николаевна<br>г. Пермь Индустриальный район<br>+79226404453<br>Заранее спасибо!;Оказание гос. соц. помощи;'добрый день, подать документ на ежемесячный выплата в связь с рождение (усыновлением)первого ребёнок 9 март 2021<br>сый я связываться 30.03 и сказать позвонить 11.04 тк это срок исполнения, к сожаление по номер +73422150562 не отвечают<br>мочь ли я получить результат? отказать в выплата или одобрено<br>рин мария николаевна<br>г. пермь индустриальный район<br>+79226404453<br>зараный спасибо!
13;Бардымский муниципальный округ Пермского края;Благоустройство;'А Лесную улицу почему не облагораживают? Дети ходят в Гимназию, всю грязь тоскают😔;Предложение по благоустройству;'а лесной улица почему не облагораживают? ребёнок ходить в гимназию, весь грязь толкают😔
14;Министерство социального развития ПК;Социальное обслуживание и защита;"'Здравствуйте не пришла выплата на третьего ребёнка ""губернаторские"" В соц защиту звонила сказали списки отправили в банк. В банке говорят вообще не поступали. Кому верить?<br>Климова Анастасия Владимировна<br>Г Соликамск<br>8-950-476-09-34 . Пусть переводят сегодня всё.";Задержка выплат гражданам;"'здравствовать не пришлый выплата на третье ребёнок ""губернаторские"" в соц защита звонить сказать список отправить в банк. в банка говорят вообще не поступали. кома верить?<br>климов анастасий владимировна<br>г соликамск<br>8-950-476-09-34 . пусть переводить сегодня всё."
15;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый день! Прошу уточнить по работе в выходной г.Березники МСЧ-СОДА, сегодня вызов не приняли на дом, темпиратура 39+, сказали нет врачей на вызов, и прием в понед. В порядке живой очереди. Я прикреплена к МСЧ-СОДА и в ГБУЗ ПК Краевая больница Вагнера меня не примут на осмотр и ПЦР-тест хоть и прием там в выходные дни будет. Получается обращаться за помощью можно только по прикреплению полиса ОМС?;Технические проблемы с записью на прием к врачу;'добрый день! просить уточнить по работа в выходной г.березники сч-ода, сегодня вызов не принять на дом, температура 39+, сказать нет врач на вызов, и приём в понед. в порядок живой очереди. я прикрепить к сч-ода и в гбуз по краевой больница вагнер я не принять на осмотр и пцр-тест хоть и приём там в выходной день будет. получаться обращаться за помощь можно только по прикрепление полис мс?
16;Город Пермь;Социальное обслуживание и защита;'Здравствуйте, нету информации насчет сносов домов на улице Бородинская?;Аварийное жилье/переселение;'здравствуйте, нету информация насчёт снос дом на улица бородинская?
17;Министерство социального развития ПК;Социальное обслуживание и защита;'Здравствуйте,хотела бы у вас спросить,я подала документы на детские пособия на переоформление ,ребенку будет год в июле<br>Я подала 6.07 хотелось бы узнать получу ли я в этом месяце?;Дети и многодетные семьи;'здравствуйте,хотеть бы у вы спросить,ть подать документ на детский пособие на переоформление ,ребёнок быть год в июле<br>ть подать 6.07 хотеться бы узнать получить ли я в это месяце?
18;ИГЖН ПК;Благоустройство;'Микрорайон Гртомовский, Елькина,49 просто ужас во дворе, мало того, что дорога не чищена, так ещё дворник при очистке тротуара и площадок у подъездов, весь снег свалил на проезжую часть и парковочные места... Завал полнейший!!!!;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади;'микрорайон громовский, елькина,49 просто ужас в дворе, мало того, что дорога не очищена, так ещё дворник при очистка тротуар и площадка у подъездов, весь снег свалить на проезжий часть и парковочный места... завал полнейший!!!!
19;Министерство социального развития ПК;Социальное обслуживание и защита;'Здравствуйте! Подскажите пожалуйста, за какой период нужно взять справку из школы, если я буду подавать в марте на губернаторские до 3 лет на третьего и последующих детей?;Оказание гос. соц. помощи;'здравствуйте! подсказать пожалуйста, за какой период нужно взять справка из школы, если я быть подавать в март на губернаторский до 3 год на третье и последующий детей?
20;ИГЖН ПК;ЖКХ;'Эту работу нужно начинать не в марте под солнышко, эту работу нужно делать ещё зимой, вовремя убирая снег с крыш, чтоб не было такого количества льда! С краю убрали видимые сосули, нарушили саму крышу, а на следующий день там придавит кого-нибудь глыба льда, а то что натает или в дождь все это поетечет на стены и в квартиры жильцов. И УК опять будут голосить денег нет на ремонт.;Жалобы на управляющие компании;'эта работа нужно начинать не в март под солнышко, этот работа нужно делать ещё зимой, вовремя убирать снег с крыш, чтоб не быть такой количество льда! с край убрать видимый сосули, нарушить сам крышу, а на следующий день там придавить кто-нибудь глыба льда, а то что катать или в дождь весь это потечь на стена и в квартира жильцов. и у опять быть голосить деньга нет на ремонт.
21;ИГЖН ПК;ЖКХ;'Добрый день, подскажите пожалуйста как написать жалобу на упровляющую компанию?;Жалобы на управляющие компании;'добрый день, подсказать пожалуйста как написать жалоба на управлять компанию?
22;Министерство социального развития ПК;Социальное обслуживание и защита;'[club185980418|Центр социальных выплат Пермского края], а какие выплаты для малоимущей(малообеспеченной) неполной семьи есть в вашем центре,весь доход семьи 10000 т.р. с небольшим;Оказание гос. соц. помощи;'[club185980418|центр социальный выплата пермский края], а какой выплата для малоимущей(малообеспеченной) неполный семья есть в ваш центре,весить доход семья 10000 т.р. с небольшой
23;АО ПРО ТКО;Мусор/Свалки/ТКО;'У нас долг был по оплате, мы оплатили, но пришли судебные письма, мне нужно чтобы отозвали иск;Плата за вывоз ТКО;'у мы долг быть по оплате, мы оплатили, но прислать судебный письма, я нужно чтобы отозвать иск
24;Александровский муниципальный округ Пермского края;Благоустройство;'Борщевик растет в сторону поселка от ж/д по прямой до поселка Лытвенский;Борщевик Сосновского;'борщевик расти в сторона посёлок от ж/д по прямая до посёлок ственский
25;Город Пермь;Общественный транспорт;'[club57433185|Пермь Первая], обратите внимание на организацию работы на ГЭС и на незаконченный ремонт дороги через переезд на ул. Писарева!;Пешеходные переходы и жд переезды;'[club57433185|пермь первая], обратить внимание на организация работа на гэс и на незаконченный ремонт дорога через переезд на ул. писарева!
26;АО ПРО ТКО;Мусор/Свалки/ТКО;'😡 Кто отвечает за вывоз мусора на Верхней Губахе?<br>Поставили один бачок, для галочки, а вывозить его не надо? Поставьте два, три, четыре бака…, или этот уберите совсем! Устроили свалку, собаки разносят по всему посёлку. Гости города приезжают на висячий мост, посмотреть самый длинный мост в Пермском крае, и что они видят...? Помойку…;★ Уборка/Вывоз мусора;'😡 кто отвечать за вывоз мусор на верхний губах?<br>поставить один бачок, для галочки, а вывозить он не надо? поставить два, три, четыре бака…, или этот убрать совсем! устроить свалку, собака разносить по весь посёлку. гость город приезжать на висячий мост, посмотреть самый длинный мост в пермский крае, и что они видят...? помойку…
27;Министерство здравоохранения;Коронавирус;'Здравствуйте, скажите пожалуйста, где можно оформить официальную жалобу на медработников?;Жалобы на врачей;'здравствуйте, сказать пожалуйста, где можно оформить официальный жалоба на медработников?
28;Министерство социального развития ПК;Социальное обслуживание и защита;'Пермский р-н, +79082683441. Здравствуйте не могу оформить онлайн пособие на ребёнка что он не получает алименты куда можно обратиться что бы все объяснили какие документы нужны. Пришёл отказ но почему не поясняют;Оказание гос. соц. помощи;'пермский р-н, +79082683441. здравствовать не мочь оформить онлайн пособие на ребёнок что он не получать алименты куда можно обратиться что бы весь объяснить какой документ нужны. прийти отказ но почему не пояснять
29;АО ПРО ТКО;Экономика и бизнес;'Здравствуйте. Почему Горнозаводское теплоэнерго с марта текущего года не выплачивает заработную плату работникам, выполняющим обязанности по сбору ТКО на территории Чусовского городского округа? О сложившейся ситуации сегодня поставлен в известность губернатор края Дмитрий Махонин. Администрация Горнозаводского теплоэнерго пообещала до конца текущей недели выплатить работникам заработную плату за март и апрель. Если долг по зарплате не будет погашен в указанный срок, работники вынуждены будут прекратить выполнение своих трудовых обязанностей, о чем незамедлительно будет сообщено губернатору.;Трудоустройство;'здравствуйте. почему горнозаводский теплоэнерго с март текущий год не выплачивать заработный плата работникам, выполнять обязанность по сбор к на территория чусовской городской округа? о сложиться ситуация сегодня поставить в известность губернатор край дмитрий махонин. администрация горнозаводский теплоэнерго пообещать до конец текущий неделя выплатить работник заработный плата за март и апрель. если долг по зарплата не быть погасить в указанный срок, работник вынудить быть прекратить выполнение свой трудовой обязанностей, о чем незамедлительно быть сообщить губернатору.
30;Город Пермь;Дороги;'А ленгасово,это сплошные боевые действия.Пока кто нибудь,не расшибется насмерть, чесаться администрация не будет.;Подтопление автомобильных дорог;'а ленгасово,этый сплошной боевой действия.пока кто нибудь,н расшибаться насмерть, чесаться администрация не будет.
31;Министерство социального развития ПК;Социальное обслуживание и защита;"'Здравствуйте.
Мы оформили пособие для малоимущих. Как теперь получить справку о том, что мы малоимущие? Планирую ребёнка отдать в д/сад, а там 50% скидка для малоимущих.
Пособие оформлено с июня 2022 г. по май 2023 г.";Оказание гос. соц. помощи;'здравствуйте. мы оформить пособие для малоимущих. как теперь получить справка о том, что мы малоимущие? планировать ребёнок отдать в д/сад, а там 50% скидка для малоимущих. пособие оформить с июнь 2022 г. по май 2023 г.
32;Губахинский городской округ;Благоустройство;'🤬 Вот так чистят дворы в разных управляющих компаниях!!! Пр. Свердлова, 6Б и пр. Свердлова, 6в. Один скреб до асфальта и почистил стоянки, другой просто проехал!!!! Кто в ответе за расчистку придомовой територии, за что платим!? Были сегодня, 1.02.2022.;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади;'🤬 вот так чистить двор в разный управлять компаниях!!! пр. свердлова, 6б и пр. свердлова, 6в. один скрести до асфальт и почистить стоянки, другой просто проехал!!!! кто в ответ за расчистка придомовый територии, за что платим!? быть сегодня, 1.02.2022.
33;Министерство здравоохранения;Коронавирус;'больше недели тест взять не могут .Все симптомы уже прошли ,пока наших врачей дождешься .Зато позвонить и сказать ,чтобы из дома не выходили не забыли .;Тесты на коронавирус;'больше неделя тест взять не мочь .всё симптом уже пройти ,пока наш врач дождаться .зато позвонить и сказать ,чтоба из дом не выходить не забыть .
34;Министерство социального развития ПК;Социальное обслуживание и защита;'А если на мат капитал куплена квартира, то все я не буду ничего получать на ребёнка после 1,6?;Оказание гос. соц. помощи;'а если на мат капитал купить квартира, то весь я не быть ничто получать на ребёнок после 1,6?
35;Министерство здравоохранения;Здравоохранение/Медицина;"'1 января примерно в17час моя жена на котке сломала ногу. По звонку я приехал на авто машине.Там еже оказывали помощь. Перелом был тяжёлый. Скорую вызвали сразу. Я снял с вагоньчика двери, положили Яну на неё и перенесли ближе к дороге. Я позвонил в скорую помощь, но тут выяснилось что скорая к нам не едет и в ближайшее время не придёт. С большим трудом удалось поместить Яну на заднее сидение. Большое спасибо всем людям которые помогли. Один я бы ничего не сделал. Каждое движение принсило неимоверную боль. Даше я отвез жену в приёмную хирургию г Краснокамска. В приеной нахолась мед сестра и деж. врач, которые не вышли и не посмотрели мою жену. Я говорил что перелом тяжёлый и состояния у жены плохое. Один я ее не могу вытащить из машины. У неё болевой шок. Проходит 20 минут, выясняется что хирурга травмотолога в больнице нет. Звоню по больницам где есть хирург. В Краснокамске нам говорят неси сам или вези куда хочешь. Везу в Закамск 11 мед санчасть. В Закамске нас уже встречали. Помогли достать из машины, поставили укол. Была сделана операция . Всё обошлось. Скорая помощь пришла только через 1,5 часа. Я считаю, что за такую мед помощь Краснокамской больнице надо вырозить благодарность в """" """" """" ***** Больше спасибо 11 мед части!!!!!!!! Неужели в Краснокамске вся медицина похерена? Ещё раз спасибо всем кто помог!!!!!!!!!";★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;"'1 январь примерно в17час мой жена на котёл сломать ногу. по звонок я приехать на авто машине.т ёж оказывать помощь. перелом быть тяжёлый. скорый вызвать сразу. я снять с вагончик двери, положить ян на она и перенести близкий к дороге. я позвонить в скорый помощь, но тут выясниться что скорый к мы не ехать и в ближний время не придёт. с больший труд удаться поместить ян на задний сидение. большой спасибо весь человек который помогли. один я бы ничто не сделал. каждый движение приносить неимоверный боль. даже я отвезти жена в приёмный хирургия год краснокамска. в приёмный находться мёд сестра и деж. врач, который не выйти и не посмотреть мой жену. я говорить что перелом тяжёлый и состояние у жена плохое. один я она не мочь вытащить из машины. у она болевой шок. проходить 20 минут, выясняться что хирург травматолог в больница нет. звонить по больница где есть хирург. в краснокамск мы говорят нести сам или везти куда хочешь. везти в закамск 11 мёд санчасть. в закамский мы уже встречали. помочь достать из машины, поставить укол. быть сделать операция . весь обошлось. скорый помощь пришлый только через 1,5 часа. я считаю, что за такой мёд помощь краснокамский больница надо выразить благодарность в """" """" """" ***** большой спасибо 11 мёд части!!!!!!!! неужели в краснокамск весь медицина померена? ещё раз спасибо весь кто помог!!!!!!!!!"
36;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый день!<br>Через доврачебный кабинет можно попасть на реабилитацию? Т.к записи нет к участковым терапевтам!!!;Технические проблемы с записью на прием к врачу;'добрый день!<br>через доврачебный кабинет можно попасть на реабилитацию? т.к запись нет к участковый терапевтам!!!
37;Лысьвенский городской округ;Благоустройство;'Когда будут убирать новогдние елки?;Парки и зоны отдыха;'когда быть убирать новогодний елки?
38;Министерство здравоохранения;Здравоохранение/Медицина;'[id269738613|Дмитрий], в Краснокамске тоже есть стеклопакеты, но из них адски дует, потому что поставлены неправильно. И стены тоже с трещинами.;Содержание больниц;'[id269738613|дмитрий], в краснокамск тоже есть стеклопакеты, но из они адски дует, потому что поставить неправильно. и стена тоже с трещинами.
39;Лысьвенский городской округ;Благоустройство;'Сегодня .Дамба по пр .Победы завалена мусором из урн .Неужели вопрос уборки городской территории никогда и никем не решится ?;Уборка территорий;'сегодня .дамба по пр .победа завалить мусор из урна .неужель вопрос уборка городской территория никогда и никто не решиться ?
40;АО ПРО ТКО;Мусор/Свалки/ТКО;'У меня вопрос. У нас ближайшая мусорка находиться на расстоянии почти километр. И как выкидывать мусор пожилым людям? Или у кого нет машины?;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке;'у я вопрос. у мы ближний мусорка находиться на расстояние почти километр. и как выкидывать мусор пожилое людям? или у кто нет машины?
41;АО ПРО ТКО;Мусор/Свалки/ТКО;'Обращение к Администрации Гайнского Округа.<br>Почему в п. Харино не вывозится мусор? К некоторым контейнерам страшно подойти. Это, например, относится к контейнерам по ул. Новостроек. Если причина в дорогах, то дороги нужно своевременно ремонтировать или грейдировать. По ул. Лесной зимой мусоровоз застрял, а сейчас около д. № 12, 13 дорога вовсе непроезжая. Налоги и оплату услуг ЖКХ требуют с жителей своевременную, а про свои прямые обязанности по созданию условий комфортной среды проживания жителей поселка , видимо, местная власть давно забыла.;★ Уборка/Вывоз мусора;'обращение к администрация гайнский округа.<br>почий в п. хариный не вывозиться мусор? к некоторые контейнер страшно подойти. это, например, относиться к контейнер по ул. новостроек. если причина в дорогах, то дорога нужно своевременно ремонтировать или грейдировать. по ул. лесна зимой мусоровоз застрял, а сейчас около д. № 12, 13 дорога вовсе непроезжая. налог и оплата услуга жкх требовать с житель своевременную, а про свой прямая обязанность по создание условие комфортный среда проживание житель посёлок , видимо, местный власть давно забыла.
42;Губахинский городской округ;Благоустройство;'У нас в Губахе на,что не посмотри всё для галочки...Аллея уже поплыла не прошло и года..Покрытие на детской площадке безобразно сделано..края задираются...баскетбольную площадку по Чернигина так до ума и не довели...На Новом такая же история....Можно перечислять до бесконечности...Только одни отчёты..в ладоши все похлопали и разбежались😏;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь);'у мы в губа на,что не посмотреть весь для галочки...аллея уже поплыть не прошлый и года..покрытие на детский площадка безобразно сделано..крый задираются...баскетбольный площадка по чернигина так до ум и не довели...ный новый такой же история....можный перечислять до бесконечности...только один отчёты..ть ладоши весь похлопать и разбежались😏
43;Министерство здравоохранения;Здравоохранение/Медицина;'Можно как-то окулиста на дом вызвать, бабушка старенькая и инвалид,сама не может подойти.<br>Или может быть как нибудь частного врача на дом,в общем нужно проверить зрение и выписать очки;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;'можный как-то окулист на дом вызвать, бабушка старенький и инвалид,сам не мочь подойти.<br>ить мочь быть как нибыть частное врач на дом,в общий нужно проверить зрение и выписать очки
44;Александровский муниципальный округ Пермского края;Благоустройство;"'Снег растаял и показал человеческие ""подснежники"": весь город загажен мусором!<br>Я не понимаю, неужели так сложно дойти до урны? Что за неуважение к природе и окружающим тебя людям!<br>Сваливают мусор там, где живут, «как поросята»<br>Многие родители с возмущением так и говорят (а дети впитывают): ""Дворникам за что зарплату платят? вот пусть и убираются!""<br>Такие люди, естественно, не выходят убирать за собой. Получается, что на субботниках неравнодушные убирают за неблагодарными. А потом эти же, кто мусорит, жалуется, что город ужасный и грязный! Так не делайте его таким!!!";Уборка территорий;"'снег растаять и показать человеческий ""подснежники"": весь город загадить мусором!<br>ть не понимаю, неужели так сложно дойти до урны? что за неуважение к природа и окружающие ты людям!<br>сваливать мусор там, где живут, «как поросята»<br>многий родитель с возмущение так и говорят (а ребёнок впитывают): ""дворник за что зарплата платят? вот пусть и убираются!""<br>такий люди, естественно, не выходить убирать за собой. получается, что на субботник неравнодушный убирать за неблагодарными. а потом этот же, кто мусорит, жалуется, что город ужасный и грязный! так не делать он таким!!!"
45;Министерство социального развития ПК;Социальное обслуживание и защита;'Пермский р-н, +79519583612. Какие положены выплаты беременным;Дети и многодетные семьи;'пермский р-н, +79519583612. какой положить выплата беременный
46;Министерство социального развития ПК;Социальное обслуживание и защита;'Здравствуйте. Подскажите подала через гос услуги заявление на получение пособия на малоимущих. Соц защита рассмотрит моё заявление? Или надо через мфц подавать? И справку мне выдадут, если мы пройдём?;Оказание гос. соц. помощи;'здравствуйте. подсказать подать через гос услуга заявление на получение пособие на малоимущих. соц защита рассмотреть мой заявление? или надо через мц подавать? и справка я выдадут, если мы пройдём?
47;Город Пермь;Дороги;'Пермь г, +79526468586. Добрый вечер! Во дворе дома по адресу Ул. Юрша 7 имеется автостоянка одного из гражданина проживающего в этом  же доме. Не знаю, на сколько она легальная?В зимний период вывоз снега не осуществляется вообще, снег расчищает со стоянки и скидывает под окна, стоят огромные барханы, и всё это тает до весны!!! А так как дом находится в низине и имеется затемненная часть, соответственно это всё не просыхает!! На асфальте круглый год мох!! ТСЖ посодействовать не стремится! Пожалуйста, поясните куда обратится, по поводу этой стоянки и вывоза снега?;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;'пермь г, +79526468586. добрый вечер! в двор дом по адрес ул. юрт 7 иметься автостоянка один из гражданин проживать в это же доме. не знаю, на сколько она легальная?ть зимний период вывоз снег не осуществляться вообще, снег расчищать с стоянка и скидывать под окна, стоять огромный барханы, и весь это таять до весны!!! а так как дом находиться в низина и иметься затемнить часть, соответственно это весь не просыхает!! на асфальт круглый год мох!! тсж посодействовать не стремится! пожалуйста, пояснить куда обратится, по повод этот стоянка и вывоз снега?
48;Министерство здравоохранения;Здравоохранение/Медицина;'Нахожусь на лечении в больнице, вопрос по питанию. Вопрос, как может поправится пожилой человек если он будет кушать с утра до вечера каши на воде? Врачи вы как никто понимаете как должно быть составлено меню. Считаю эту проблему острой и прошу принять действия.;★ Питание в медицинских учреждениях;'находиться на лечение в больнице, вопрос по питанию. вопрос, как мочь поправиться пожилой человек если он быть кушать с утро до вечер каша на воде? врач вы как никто понимать как должный быть составить меню. считать этот проблема острый и просить принять действия.
49;Губахинский городской округ;Благоустройство;'Вобще парк надо чистить. Там бурелом сплошной.;Уборка территорий;'вобщий парк надо чистить. там бурелом сплошной.
50;Министерство здравоохранения;Здравоохранение/Медицина;'Пермь г, +79667930853. У нас в городе плановое стационарное лечение проводится? Нет ограничений по этому поводу?;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;'пермь г, +79667930853. у мы в город плановый стационарный лечение проводится? нет ограничение по это поводу?
51;Министерство здравоохранения;Здравоохранение/Медицина;'Граждане, задайте вопрос лысьвенской администрации, почему нехватка специалистов, старперы уйдут и что станется? Что делает администрация для укрепления молодых кадров. Федеральных арограм море, но ни в одной Лысьва не заявлена. Надо грамотно всем требовать через СМИ , губернатора, сети. Тогда нас услышат;Нехватка или сокращение врачей и медицинских учреждений;'граждане, задать вопрос лысьвенский администрации, почему нехватка специалистов, стартер уйти и что станется? что делать администрация для укрепление молодая кадров. федеральный програм море, но ни в один лев не заявлена. надо грамотно весь требовать через сми , губернатора, сети. тогда мы услышать
